"time" "subcohort" "state" "probability" "upper" "lower"
"1" 0.1 "the main cohort" "CHBV_nEFT" 0.936 1 0.8
"2" 0.2 "the main cohort" "CHBV_nEFT" 0.8725 1 0.75
"3" 0.3 "the main cohort" "CHBV_nEFT" 0.8105 0.95 0.65
"4" 0.4 "the main cohort" "CHBV_nEFT" 0.7535 0.9 0.6
"5" 0.5 "the main cohort" "CHBV_nEFT" 0.703 0.85 0.55
"6" 0.6 "the main cohort" "CHBV_nEFT" 0.648 0.8 0.4475
"7" 0.7 "the main cohort" "CHBV_nEFT" 0.6095 0.75 0.42375
"8" 0.8 "the main cohort" "CHBV_nEFT" 0.5625 0.75 0.4
"9" 0.9 "the main cohort" "CHBV_nEFT" 0.522 0.7 0.35
"10" 1 "the main cohort" "CHBV_nEFT" 0.492 0.65 0.2975
"11" 1.1 "the main cohort" "CHBV_nEFT" 0.4565 0.65 0.25
"12" 1.2 "the main cohort" "CHBV_nEFT" 0.4215 0.6 0.25
"13" 1.3 "the main cohort" "CHBV_nEFT" 0.393 0.55 0.22375
"14" 1.4 "the main cohort" "CHBV_nEFT" 0.36 0.55 0.2
"15" 1.5 "the main cohort" "CHBV_nEFT" 0.345 0.52625 0.17375
"16" 1.6 "the main cohort" "CHBV_nEFT" 0.318 0.52625 0.1
"17" 1.7 "the main cohort" "CHBV_nEFT" 0.2925 0.5 0.1
"18" 1.8 "the main cohort" "CHBV_nEFT" 0.273 0.45 0.1
"19" 1.9 "the main cohort" "CHBV_nEFT" 0.258 0.42625 0.07375
"20" 2 "the main cohort" "CHBV_nEFT" 0.24 0.4 0.07375
"21" 2.1 "the main cohort" "CHBV_nEFT" 0.2165 0.35 0.05
"22" 2.2 "the main cohort" "CHBV_nEFT" 0.202 0.35 0.05
"23" 2.3 "the main cohort" "CHBV_nEFT" 0.187 0.35 0.02375
"24" 2.4 "the main cohort" "CHBV_nEFT" 0.174 0.32625 0
"25" 2.5 "the main cohort" "CHBV_nEFT" 0.1605 0.3 0
